Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
COmuTWUZjR8,Kitchen Sink Attenuator in SketchUp,"Aug 23, 2022",5,0.0155,0,74,2.7
DhqI2L7XklY,Positioning holofan waves,"Oct 22, 2022",5,0.0192,0,144,0.69
OM18kreGMq0,Wave attenuator from design to physical prototype,"Oct 29, 2022",5,0.0418,0,59,6.78
ezxnLguiFag,Water shaping setup with servo motor Arduino Uno,"Aug 30, 2022",5,0.0174,0,32,12.5
j3rXp-4ulPc,Holofan bathtub,"May 25, 2022",5,0.0191,0,59,6.78
mjWrP4J7a9k,Vesselless cargo bay propellers,"Oct 3, 2024",5,0.0209,0,104,2.88
swOmU57H0pA,OWC in Blender,"Oct 19, 2022",5,0.0234,0,24,20.83
0ciqsmOg1M4,Bathtub attenuator SolidWorks,"Oct 26, 2022",4,0.0079,0,38,7.89
9gnGVlaCugM,Looking from short distance above holographic wave tank,"Jan 30, 2022",4,0.008,0,220,0.91
GjRLs-9XIcw,Motors making small waves but no electricity this time,"Jan 27, 2022",4,0.0095,0,192,1.56
Q2X89RgfR4o,2 wall waves for holographic wave tank,"Jan 30, 2022",4,0.0151,0,190,0
eXiLbW77C0g,Blender vs real wave energy attenuator,"Oct 14, 2022",4,0.0248,0,57,5.26
eZfhyGJwv1g,Sketchup comparisons of different Wave Energy Converters,"Dec 22, 2021",4,0.0151,0,63,6.35
sL_sRJokm0k,Blender water in bathtub,"Mar 17, 2022",4,0.0313,0,23,8.7
 -ZVPbc6oiYo,Blender pollution propeller in water,"Mar 21, 2022",3,0.0065,0,25,8
1aRvv6kjWoo,Water surface in drone's wake made with Blender,"Nov 1, 2021",3,0.0086,0,1,0
4hjIUXOXJAA,Laundry tub wave energy,"Sep 2, 2022",3,0.0099,0,58,5.17
8aG2JX_-C4Y,Holofan Bathtub in SketchUp,"Mar 16, 2022",3,0.014,0,31,9.68
DXt2AjFDVOk,Wave Energy Converter detailed in SketchUp,"Dec 6, 2021",3,0.0111,0,45,6.67
FaP0pap2na4,Short wave tank made in ANSYS,"Jan 11, 2022",3,0.0056,0,80,2.5
KDdrqnXhXSE,SketchUp Wave Energy Rig,"Aug 11, 2022",3,0.0182,0,11,0
KvtSFrBe7DE,Blender water pipe,"Oct 18, 2022",3,0.0103,0,70,4.29
Mn_yrEI-jo8,OWCs in Blender & SolidWorks,"Oct 24, 2022",3,0.0165,0,43,6.98
PdhEIVlfuPw,Whirlpool Maker Blender Simulation,"Feb 14, 2022",3,0.0086,0,52,3.85
VR49yGQuCFg,Depolluting water 3D model,"Jul 26, 2022",3,0.0279,0,23,13.04
VX0USOEkfgg,Oscillating Water Column made in SketchUp,"Jun 20, 2022",3,0.0282,0,28,10.71
eTz8Pudb3f0,AutoCAD Blender SketchUp SolidWorks - Wave power attenuator,"Nov 5, 2022",3,0.01,0,38,5.26
jlY8Asl7z38,Making waves in a tank and converting to electricity,"Mar 3, 2022",3,0.0064,0,17,11.76
koDGVDVUE2k,FreeCAD coil & magnet whirlpool,"Jul 13, 2022",3,0.007,0,49,4.08
y5-MEIqiH-w,The power of washing your hands - Wave Power,"Oct 1, 2022",3,0.0223,0,217,0.92
y_nBWiG9iGo,Surf bath simulation of small waves in ANSYS,"Feb 16, 2022",3,0.0056,0,23,8.7
8ZTJUwKZz0I,Blender shower,"Mar 30, 2022",2,0.0008,0,37,5.41
9FOHObtCSyg,Can an Oscillating Water Column work with a kitchen sink?,"Feb 7, 2022",2,0.0054,0,13,15.38
9GF88FUI36M,Wave energy kettles,"Dec 9, 2022",2,0.0073,0,29,6.9
BKKb8YUFrfE,Holofan test and surfboard preparation,"May 11, 2023",2,0.014,0,105,0
I0-TLxPKBis,SolidWorks vs real wave power attenuator,"Oct 28, 2022",2,0.0081,0,35,2.86
Jp10MkMIakI,Rough holosurf,"Mar 16, 2023",2,0.0274,0,38,2.63
JrvpWKWFBDE,Water jet to move water pollution,"Mar 21, 2022",2,0.0066,0,15,0
QlWmDeo810U,Holofan test for holosurfing,"May 18, 2023",2,0.0244,0,155,0.65
RZuNHz0MLj8,Holofan bathtub temperature change short,"May 29, 2022",2,0.0032,0,44,2.27
TES0pl-1yAM,Cross section of wave tank with board making waves,"Jan 31, 2022",2,0.0021,0,7,28.57
XOfn-qro-kg,SketchUp model of Oscillating Water Column (OWC) with different water levels,"Feb 1, 2022",2,0.0103,0,36,2.78
Z1bqYhKP1JM,Short vid on Wave Energy NFTs,"Mar 28, 2022",2,0.0156,0,47,4.26
_0mM6ohbbPI,Small wave power attenuator in a pipe,"Dec 3, 2022",2,0.006,0,17,0
_aDcFcMo2wY,Circling the holosurfing,"Mar 23, 2023",2,0.0589,0,59,0
fMof4yDz0ho,Bathroom basin Oscillating Water Column,"Aug 28, 2022",2,0.0085,0,39,5.13
g0cKms1evuY,Wave energy attenuator in a swimming pool,"Nov 15, 2022",2,0.0032,0,45,2.22
hXAiDNu3JDg,Basin Point Absorber,"Aug 9, 2022",2,0.0063,0,60,3.33
pfxzzpuOpo4,SolidWorks model of propellers making waves being converted to electricity,"Jan 6, 2022",2,0.0079,0,39,5.13
xX4nHPG0a5E,SketchUp design for depolluting using water shaping,"Jul 27, 2022",2,0.0332,0,16,6.25
z9ZAYsV-RDI,Untapped energy in your home,"Oct 4, 2022",2,0.0097,0,27,0
1dSV5lPhAdc,Swimming pool wave power attenuator,"Nov 14, 2022",1,0.0007,0,38,0
2BuSno8xxPQ,Wave Energy Converters with Style,"Apr 6, 2022",1,0.0127,0,17,5.88
3Ydlkp4HME8,Holosurfing pretrial inspection,"May 16, 2023",1,0.0234,0,96,0
6ERUhy-FXGc,Oscillating wave converter for bathtub,"Apr 6, 2022",1,0.0018,0,13,7.69
6ZHv5rDWIZg,Propeller pool making waves,"Aug 16, 2022",1,0.0007,0,7,14.29
909k-VckWq8,Wave energy simulation,"Feb 7, 2022",1,0.0032,0,4,0
9_ssuLPI2gU,Basin Oscillating Water Column,"Aug 14, 2024",1,0.0024,0,87,1.15
A7_poOROZeE,Wave tank with wave power attenuator,"May 23, 2022",1,0.0048,0,14,7.14
AeiFvVE50kY,Port2Port Vesselless Cargo in SketchUp,"Aug 22, 2022",1,0.0029,0,6,16.67
AtN6cdc11E4,Whirlpool Simulation in ANSYS,"Mar 5, 2022",1,0.0031,0,9,11.11
BPP9sIGiSvg,Recycled Oscillating Water Column,"Mar 27, 2022",1,0.0053,0,43,2.33
BxAKvTC3YC8,Bathtub wave power,"Dec 16, 2022",1,0.0028,0,100,0
CLTbgINIC1I,Water in Roblox and SketchUp compared,"Nov 24, 2021",1,0.0028,0,15,0
DHja0Fp7HK8,Prototyping holosurfing,"Feb 14, 2023",1,0.005,0,13,7.69
Dh8JAi4WRUs,Holographic wave tank with small waves on both sides,"Jan 31, 2022",1,0.0012,0,96,0
DizW6Kar3mA,Small holographic wave tank with two sides,"Jan 30, 2022",1,0.0034,0,82,0
EmOuDgvQDmU,Surf bath in SolidWorks,"Feb 10, 2022",1,0.0067,0,19,5.26
F8WKhzWa9nU,Bathroom Basin Attenuator,"Nov 30, 2022",1,0.0016,0,3,0
F9hOJViNygM,Blender Wave Energy Converter (WEC),"Mar 15, 2022",1,0.0049,0,21,4.76
FD9asnGRr8s,Vesselless Cargo island,"Nov 10, 2022",1,0.0019,0,74,1.35
