Geography,Views,Watch time (hours),Average view duration
Total,2170,7.9708,0:00:13
AU,428,1.9745,0:00:16
IN,55,0.1787,0:00:11
US,47,0.1611,0:00:12
ID,12,0.044,0:00:13
MY,11,0.026,0:00:08
ES,10,0.0536,0:00:19
